,organisation_chain,tender_reference_number,tender_id,tender_type,withdrawal_allowed,tender_category,product_category,tender_value_in_â‚¹_,period_of_work(days),title,work_description,published_date,location,bid_submission_start_date,bid_submission_end_date,bid_opening_date,bid_validity(days),name,address
45,Bharat Sanchar Nigam Limited (Govt of India Enterprise),MM/E-TENDER/RJT/RMC SCANING/2022-23 Dated 04-02-23,2023_BSNL_144974_1,Open Tender,Yes,Services,"Scanning, Digitisation Services "," 48,00,000 ",365,Scanning Indexing and Uploading of scanned images of various size documents of RMC under smart city project,SCANNING INDEXING  UPLOADING OF SCANNED IMAGES OF VARIOUS SIZED DOCUMENTS OF RAJKOT MUNICIPAL CORPORATION OFFICES UNDER SMART CITY PROJECT WITH BSNL As per Technical details Specification given in tender document,2023-02-10 17:00:00,Rajkot,2023-02-10 17:00:00,2023-03-04 14:30:00,2023-03-06 15:00:00,150,AGM(MM) BSNL Rajkot on behalf of GMTD Rajkot,"2nd Floor Bhaktinagar TE, Lohanagar, Rajkot 360002"
46,Bharat Sanchar Nigam Limited (Govt of India Enterprise),PLG/TVLA/LIFT BSNL BHAVAN/2022-23/1,2023_BSNL_145021_1,Open Tender,Yes,Works,Job Works ,NA,180,"Comprehensive maintenance of 1x8 Passenger lift at BSNL Bhavan,Thiruvalla ","comprehensive maintenance of 1x8 Passenger lift at BSNL Bhavan ,Thiruvalla ",2023-02-10 17:00:00,Thiruvalla,2023-02-10 17:00:00,2023-03-02 11:00:00,2023-03-03 11:00:00,150,AGM Planning,"O/o PGMT, BSNL, Thiruvalla"
47,Bharat Sanchar Nigam Limited (Govt of India Enterprise),TEDS/NIT-05/22-23 (3rd call),2023_BSNL_145007_1,Open Tender,Yes,Works,Electrical Works ,NA,365,"Comprehensive maintenance of PAC, Window, Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at Siliguri Main TE Bldg. and Sanchar SikharBldg-Admn. Bldg, Siliguri-3rd call.","Comprehensive maintenance of PAC, Window, Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at Siliguri Main TE
Bldg. and Sanchar SikharBldg-Admn. Bldg, Siliguri-3rd call.",2023-02-10 16:30:00,Siliguri Main TE and Admin. Bldg.,2023-02-10 16:30:00,2023-02-16 14:30:00,2023-02-18 14:30:00,90,EE (E)-ED-Siliguri,"Office of Executive Engineer (E),BSNL Electrical Division, Sanchar Sikhar Bldg, 3rd Floor, Room No. 310, Ashutosh Mukherjee Road, College Para, Siliguri-734001."
48,Bharat Sanchar Nigam Limited (Govt of India Enterprise),02/EE/KLM/NIT/2023-24,2023_BSNL_145009_1,Open Tender,Yes,Works,Civil Works ," 4,68,209 ",90,TOWER PAINTING AT BSNL CD KOLLAM,Repainting of 5 nos towers at SHANKARAMNAGALAM ALUMPEEDIKA NEENDAKARA THIRUMULLAVARAM AND KODUVILA,2023-02-10 16:00:00,KOLLAM,2023-02-10 18:00:00,2023-02-25 18:00:00,2023-02-28 11:30:00,90,EE C CD KOLLAM,"O/O GM , 4TH FLOOR BSNL BHAVAN VELLAYITTAMBALAM 691012"
49,Bharat Sanchar Nigam Limited (Govt of India Enterprise),NIT 26 BCD-WGL,2023_BSNL_144980_1,Open Tender,Yes,Works,Civil Works - Buildings ," 3,53,587 ",30,NIT No 26 BCD WGL 9M pole work Chincholi,Providing fabrication and erection of 2 No 9m Monopoles  gantry on terrace of G plus 1 building in Govt. Mahila pranganam at near Chincholi B village of Sarangapur Mandal in Nirmal district Adilabad OA Nizamabad BA 4th Call,2023-02-10 14:00:00,Chincholi Nirmal Dist,2023-02-10 14:05:00,2023-02-15 15:00:00,2023-02-16 15:30:00,30,EE Civil,Room no 703 BSNL Bhavan Hyderabad
50,Bharat Sanchar Nigam Limited (Govt of India Enterprise),PLG/CP/TENDER/CLUSTER OUTSOURCING/2022-23/4(6)  ,2022_BSNL_131807_2,Open Tender,Yes,Works,Support/Maintenance Service ,NA,730,"Etender for outsourcing of EPM in Cluster6-Alathur, Palakkad BA","Etender for outsourcing of EPM in Cluster6-Alathur, Palakkad BA",2023-02-10 12:40:00,ALATHUR,2023-02-10 12:40:00,2023-02-22 12:00:00,2023-02-23 12:00:00,180,"GMT,BSNL,Palakkad","O/o GMT,BSNL,Palakkad-678014"
51,Bharat Sanchar Nigam Limited (Govt of India Enterprise),PLG/CP/Tender/Cluster Outsourcing/2022-23/4(3),2022_BSNL_131728_2,Open Tender,Yes,Works,Support/Maintenance Service ,NA,730,"Etender for outsourcing of EPM in Cluster3-Olavakkode, Palakkad BA","Etender for outsourcing of EPM in Cluster3-Olavakkode, Palakkad BA",2023-02-10 12:30:00, OLAVAKKODE,2023-02-10 12:30:00,2023-02-22 12:00:00,2023-02-23 12:00:00,180,"GMT,BSNL,Palakkad","O/o GMT,BSNL,Palakkad, 678014"
52,Bokaro Power Supply Company (P) Limited,22-23/C-189/NIT-1241,2023_BPSCL_144857_1,Open Tender,Yes,Services,Miscellaneous Services ," 19,60,050 ",365,"Assistance in Electrical Operation of Boiler, Turbine, Generator and associated auxiliaries of Unit 9","Assistance in Electrical Operation of Boiler, Turbine, Generator and associated auxiliaries of Unit 9",2023-02-09 17:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-09 17:00:00,2023-03-09 12:00:00,2023-03-10 12:15:00,180,"A.K Das, CGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
53,Bokaro Power Supply Company (P) Limited,22-23/C-205/LTE-129,2023_BPSCL_144578_1,Limited,Yes,Services,Miscellaneous Services ," 5,92,020 ",180,Preparation of Onsite Emergency Plan and Disaster Control and Management Plan as per Factories Act/Rule,Preparation of Onsite Emergency Plan and Disaster Control and Management Plan as per Factories Act/Rule,2023-02-08 16:00:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-02-08 16:00:00,2023-02-23 11:00:00,2023-02-24 11:00:00,90,Senior Manager (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
54,Bokaro Power Supply Company (P) Limited,22-23/C-192/LTE-127,2023_BPSCL_144411_1,Limited,Yes,Services,Miscellaneous Services ," 2,10,373 ",365,Repairing of Instrumentation Motors,Repairing of Instrumentation Motors,2023-02-07 11:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-07 11:00:00,2023-02-23 11:00:00,2023-02-24 11:30:00,90,"S Choudhuri, DGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
55,Bokaro Power Supply Company (P) Limited,22-23/C-191/LTE-126,2023_BPSCL_144316_1,Limited,Yes,Services,Miscellaneous Services ," 5,76,965 ",365,Medium Repair of LT Motors,Medium Repair of LT Motors,2023-02-07 09:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-07 09:00:00,2023-02-23 11:00:00,2023-02-24 11:30:00,90,"S Choudhuri, DGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
56,Bokaro Power Supply Company (P) Limited,22-23/C-167/NIT-1239,2023_BPSCL_143556_1,Open Tender,Yes,Services,Miscellaneous Services ," 24,73,605 ",365,Assisting Boiler personnel in maintaining operational norms and equipment health,Assisting Boiler personnel in maintaining operational norms and equipment health,2023-02-01 09:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-01 09:00:00,2023-03-02 12:00:00,2023-03-03 12:15:00,180,"A.K Das, CGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
57,Bokaro Power Supply Company (P) Limited,22-23/C-185/NIT-1238,2023_BPSCL_143394_1,Open Tender,Yes,Services,Miscellaneous Services ," 64,31,665 ",365,Round the clock assistance in Shift Electrical Operation of complete electrics and supervisory and technical control of TPP,Round the clock assistance in Shift Electrical Operation of complete electrics and supervisory and technical control of TPP,2023-01-31 11:30:00,"Power Plant, BPSCL, Bokaro Steel City",2023-01-31 11:30:00,2023-03-02 12:00:00,2023-03-03 12:15:00,180,"A.K Das, CGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
58,Bokaro Power Supply Company (P) Limited,22-23/C-142/NIT-1229,2023_BPSCL_143235_1,Open Tender,Yes,Services,Miscellaneous Services ," 11,44,437 ",365,Carrying out in-house routine tests of environment parameters on regular basis.,"Carrying out in-house routine tests of ambient air, flue gas 
emission, noise and other environment parameters on regular basis.
",2023-01-31 09:00:00,"Power Plant, BPSCL,Bokaro Steel City",2023-01-31 09:30:00,2023-02-27 11:30:00,2023-02-28 12:15:00,180,CGM (MM),Bokaro Power Supply Company (P) Ltd. Hall No. M 01 Old Administrative Building ISPAT Bhawan Bokaro Steel City 827001
59,Bokaro Power Supply Company (P) Limited,22-23/C-187/LTE-120,2023_BPSCL_143263_1,Limited,Yes,Works,Civil Works ," 14,52,933 ",180,Face lifting of Brick Manufacturing Plant.,Face lifting of Brick Manufacturing Plant.,2023-01-30 13:00:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-01-30 13:00:00,2023-02-13 11:00:00,2023-02-14 11:00:00,90,Senior Manager (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
60,Bokaro Power Supply Company (P) Limited,22-23/C-171/NIT-1237,2023_BPSCL_143220_1,Open Tender,Yes,Services,Miscellaneous Services ," 2,04,72,824 ",365,Annual Maintenance Contract of Boiler with its auxiliaries and Turbine Auxiliaries of Unit 6 to 8,Annual Maintenance Contract of Boiler with its auxiliaries and Turbine Auxiliaries of Unit 6 to 8,2023-01-30 09:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-01-30 09:00:00,2023-02-27 12:00:00,2023-02-28 12:15:00,180,"A.K Das, CGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
61,Bokaro Power Supply Company (P) Limited,22-23/C-166/LTE-110,2023_BPSCL_142246_1,Limited,Yes,Works,Civil Works ," 14,80,115 ",180,Repair and Painting of Welfare Building 1.,Repair and Painting of Welfare Building 1.,2023-01-24 12:00:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-01-24 12:00:00,2023-02-16 11:00:00,2023-02-17 11:15:00,90,Senior Manager (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
62,Bokaro Power Supply Company (P) Limited,22-23/C-182/LTE-111,2023_BPSCL_142404_1,Limited,Yes,Services,Miscellaneous Services ," 19,06,785 ",365,"Boiler Tube Failure Analysis for TPP, CPP and  Unit  9.","Boiler Tube Failure Analysis for TPP, CPP and  Unit  9.",2023-01-20 17:00:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-01-20 17:00:00,2023-02-13 11:00:00,2023-02-14 11:00:00,90,Senior Manager (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
63,Bokaro Power Supply Company (P) Limited,22-23/C-148/NIT-1240,2023_BPSCL_144903_1,Open Tender,Yes,Works,Civil Works ," 71,04,905 ",365,Rate Contract for Painting works in Power Plant,Rate Contract for Painting works in Power Plant,2023-02-10 09:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-10 09:00:00,2023-03-13 12:00:00,2023-03-14 12:15:00,180,"A.K Das, CGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
64,Bokaro Power Supply Company (P) Limited,22-23/C-172/NIT-1242,2023_BPSCL_144713_1,Open Tender,Yes,Services,Miscellaneous Services ," 10,63,946 ",730,"Rewinding, Repair and Overhauling of 415 V, 50 Hz AC LT Motors","Rewinding, Repair and Overhauling of 415 V, 50 Hz AC LT Motors of rating more than 25 KW up to 110 KW",2023-02-09 09:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-09 09:00:00,2023-03-09 12:00:00,2023-03-10 12:15:00,180,"A.K Das, CGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
65,Bokaro Power Supply Company (P) Limited,22-23/C-206/LTE-128,2023_BPSCL_144550_1,Limited,Yes,Services,Miscellaneous Services ," 9,80,280 ",365,Overhauling of Raw Coal Feeders of CPP Boilers,Overhauling of Raw Coal Feeders of CPP Boilers,2023-02-08 09:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-08 09:00:00,2023-02-23 11:00:00,2023-02-24 11:30:00,90,"S Choudhuri, DGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
66,Bokaro Power Supply Company (P) Limited,22-23/C-199/LTE-117,2023_BPSCL_144410_1,Limited,Yes,Services,Miscellaneous Services ," 7,07,067 ",365,Maintenance of Station Battery Sets of Power Plant.,Maintenance of Station Battery Sets of Power Plant.,2023-02-07 11:00:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-02-07 11:00:00,2023-02-23 11:00:00,2023-02-24 11:00:00,90,Senior Manager (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
67,Bokaro Power Supply Company (P) Limited,22-23/C-203/LTE-125,2023_BPSCL_143771_1,Limited,Yes,Services,Miscellaneous Services ," 13,47,465 ",365,Assistance in day to day activities of Planning Cell Store.,Assistance in day to day activities of Planning Cell Store.,2023-02-02 14:00:00,"Power Plant, BPSCL,Bokaro Steel City",2023-02-02 14:00:00,2023-02-16 11:00:00,2023-02-17 11:00:00,90,SENIOR MANAGER (MM),Bokaro Power Supply Company (P) Ltd. Hall No. M 01 Old Administrative Building ISPAT Bhawan Bokaro Steel City 827001
68,Bokaro Power Supply Company (P) Limited,22-23/C-147/NIT-1234,2023_BPSCL_143546_1,Open Tender,Yes,Services,Miscellaneous Services ," 16,78,630 ",365,Overhauling of Rotary Drives of TPP Boiler,Overhauling of Rotary Drives of TPP Boiler,2023-02-01 09:00:00,"Power Plant, BPSCL, Bokaro Steel City",2023-02-01 09:00:00,2023-03-02 12:00:00,2023-03-03 12:15:00,180,"A.K Das, CGM (Material Management), BPSCL","Hall No. M 01, Old Administrative Building, ISPAT Bhawan, Bokaro Steel City - 827001"
69,Bokaro Power Supply Company (P) Limited,22-23/EOI-003,2023_BPSCL_143389_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,300,"Revamping, Testing and Commissioning of existing dense phase pneumatic Ash Handling Plant of CPP Boiler.","Revamping, Testing and Commissioning of existing dense phase pneumatic Ash Handling Plant of CPP Boiler.",2023-01-31 11:15:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-01-31 11:15:00,2023-03-14 12:00:00,2023-03-15 12:00:00,180,CGM (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
70,Bokaro Power Supply Company (P) Limited,22-23/C-198/LTE-118,2023_BPSCL_143272_1,Limited,Yes,Services,Miscellaneous Services ," 11,33,999 ",365,Removal of technological waste from vicinity of Oil system of Ball Mills of Boiler 6 to 9.,Removal of technological waste from vicinity of Oil system of Ball Mills of Boiler 6 to 9.,2023-01-30 14:00:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-01-30 14:00:00,2023-02-13 11:00:00,2023-02-14 11:00:00,90,Senior Manager (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
71,Bokaro Power Supply Company (P) Limited,22-23/C-200/LTE-119,2023_BPSCL_143251_1,Limited,Yes,Services,Miscellaneous Services ," 10,73,465 ",365,Assistance job for controlling and regulating traffic movement on the level crossing of Railway line.,Assistance job for controlling and regulating traffic movement on the level crossing of Railway line.,2023-01-30 13:00:00,"Power Plant, BPSCL, BOKARO STEEL CITY",2023-01-30 13:00:00,2023-02-13 11:00:00,2023-02-14 11:00:00,90,Senior Manager (MM),"ADM Office, BPSCL, Ispat Bhawan, Bokaro Steel City"
72,Brahmaputra Cracker and Polymer Limited,BCPL/CNP/DU22S307MB/4884,2023_BCPL_144132_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,28,"ANNUAL RATE CONTRACT FOR PROCUREMENT OF COPPER RINGS AND O RINGS FOR INSTRUMENTS AIR COMPRESSOR AT GDU, DULIAJAN",Please refer Tender documents.,2023-02-04 15:00:00,"BCPL, Lepetkata",2023-02-04 15:00:00,2023-02-27 11:00:00,2023-02-28 11:00:00,90,MANOSH J. BORAH,"Brahmaputra Cracker and Polymer Limited, C and P Department,
 Administrative Building, PO_Lepetkata,
 Dist_DIBRUGARH, Assam, Pin Code_786006"
73,Brahmaputra Cracker and Polymer Limited,BCPL/CNP/LE22W179MK/02542,2023_BCPL_143313_1,Limited,Yes,Services,Consultancy ,NA,180,HIRING OF CONSULTANCY SERVICES FOR BUSINESS DEVELOPMENT ACTIVITIES OF BCPL,Please refer Tender documents.,2023-01-30 16:30:00,"BCPL, Lepetkata",2023-01-30 16:30:00,2023-02-27 14:30:00,2023-02-28 15:00:00,90,M. K. BINJOLA,"Brahmaputra Cracker and Polymer Limited, C and P Department,
 Administrative Building, PO_Lepetkata,
 Dist_DIBRUGARH, Assam, Pin Code_786006"
74,Brahmaputra Cracker and Polymer Limited,BCPL/FNA/2022-23/STL,2023_BCPL_144646_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,1095,EMPANELMENT OF LENDERS FOR UNSECURED SHORT TERM/ WORKING CAPITAL LOAN OF RS. 500 CRORE,Please refer Tender documents.,2023-02-08 17:00:00,"BCPL, Lepetkata",2023-02-08 17:00:00,2023-02-23 14:30:00,2023-02-24 15:00:00,90,Nayan Mani Dutta,"Brahmaputra Cracker and Polymer Limited, F and A Department,
 Administrative Building, PO_Lepetkata,
 Dist_DIBRUGARH, Assam, Pin Code_786006"
75,Brahmaputra Cracker and Polymer Limited,BCPL/CNP/LE22W222MK/02638,2023_BCPL_143953_1,Open Tender,Yes,Works,Civil Works ,NA,90,"HIRING OF SERVICES FOR REMOVAL OF EXISTING EARTH LAYER OVER FILTERED WATER RESERVOIR AND FILTERED WATER SUMP AT RWTP AREA FOR BCPL, LEPETKATA",Please refer Tender documents.,2023-02-03 13:00:00,"BCPL, Lepetkata",2023-02-03 13:00:00,2023-02-21 14:30:00,2023-02-22 15:00:00,90,M. K. BINJOLA,"Brahmaputra Cracker and Polymer Limited, C and P Department,
 Administrative Building, PO_Lepetkata,
 Dist_DIBRUGARH, Assam, Pin Code_786006"
76,Brahmaputra Valley Fertilizer Corporation Limited,AN/2022/65A/402/228/JS/0365,2023_BVFCL_144388_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,365,Upgradation for field instrument pneumatic Pressure Transmitters into Electronic Type Pressure Transmitters,"Up gradation for field instrument pneumatic Pressure Transmitters into Electronic Type
Pressure Transmitters",2023-02-06 18:25:00,BVFCL Namrup,2023-02-06 18:45:00,2023-02-25 15:15:00,2023-02-27 15:30:00,120,DGM (MM),"MM Department
BVFCL Namrup"
77,Brahmaputra Valley Fertilizer Corporation Limited,Nam / Elect / Utly and WTP-III /NIT-10/2022/109,2023_BVFCL_143115_1,Open Tender,Yes,Works,Miscellaneous Works ,NA,365,"Maintenance Assistance for repairing of lighting fixtures,Junction boxes and  LDBs in Uty I  and II, B-II and Jack well group of plants for One Year.","Maintenance Assistance for repairing of lighting fixtures,Junction boxes and  LDBs in Uty I  and II, B-II and Jack well group of plants for One Year.",2023-01-27 18:30:00,BVFCL NAMRUP,2023-01-27 18:30:00,2023-02-20 15:00:00,2023-02-21 15:30:00,180,B SHARMA,"UTLY and   WTP
ELECTRICAL DEPARTMENT
BVFCL"
78,Brahmaputra Valley Fertilizer Corporation Limited,AN/2022/66CPP/781/380/JS/0342,2023_BVFCL_140830_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,365,Supply of Gearbox spares for Gas Turbine II,Supply of Gearbox spares for Gas Turbine II,2023-01-07 12:50:00,BVFCL Namrup,2023-01-07 14:00:00,2023-02-16 15:00:00,2023-02-17 15:30:00,120,DGM (MM),"MM Department
BVFCL Namrup"
79,Brahmaputra Valley Fertilizer Corporation Limited,NAM/TS/03(02)/SSP/287,2023_BVFCL_144690_1,Open Tender,Yes,Works,Miscellaneous Works ,NA,365,"Engagement of LSTK Contractor for Design and Detailed Engineering, Supply, Installation,Erection, Testing and Commissioning of 400 TPD SSP Plant with 100 percent conversion facility to GSSP Manufacturing and Packaging.","Engagement of LSTK Contractor for Design and Detailed Engineering, Supply, Installation,Erection, Testing and Commissioning of 400 TPD SSP Plant with 100 percent conversion facility to GSSP Manufacturing and Packaging.",2023-02-08 17:55:00,Namrup,2023-02-08 18:05:00,2023-03-09 15:00:00,2023-03-10 15:30:00,120,DGM TS,BVFCL Namrup
80,Brahmaputra Valley Fertilizer Corporation Limited,UB-III/22/Cont-295/7683,2023_BVFCL_144169_1,Open Tender,Yes,Works,Miscellaneous Works ," 7,62,070 ",20,Repair or renovation of ET 1 Conveyor system structure of Urea III plant,Repair or renovation of ET 1 Conveyor system structure of Urea III plant,2023-02-04 17:35:00,"BVFCL, Namrup",2023-02-04 18:30:00,2023-02-20 15:00:00,2023-02-21 15:30:00,180,M P Sinha,"D G M Maint and MM, BVFCL, Namrup"
81,Brahmaputra Valley Fertilizer Corporation Limited,BVFCL/MKTG/22-23/IMP/DAP/01,2023_BVFCL_141976_1,Global Tenders,Yes,Goods,Miscellaneous Goods ,NA,365,"TERMS OF REFERENCE(TOR) FOR ENTERING INTO PURCHASE AGREEMENT WITH REPUTED TRADERS FOR IMPORT OF 2,00,000 MT of DAP IN A YEAR","TERMS OF REFERENCE(TOR) FOR ENTERING INTO PURCHASE AGREEMENT WITH REPUTED TRADERS FOR IMPORT OF 2,00,000 MT of DAP IN A YEAR",2023-01-17 18:00:00,BVFCL,2023-01-17 18:10:00,2023-02-23 15:30:00,2023-02-24 15:30:00,90,DGM (Marketing),BVFCL Namrup
82,Cement Corporation of India Limted,BKJ/MM/Civil-3823/22-23,2023_CCI_144518_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,60,Procurement of Spares for BG Rail Tracks at Bokajan Unit,Procurement of Spares for BG Rail Tracks at Bokajan Unit,2023-02-07 18:00:00,Bokajan Cement Factory of CCI,2023-02-07 18:00:00,2023-02-23 15:00:00,2023-02-24 15:00:00,90,HOD(MM),"Bokajan Cement Factory, CCI"
83,Cement Corporation of India Limted,TCF/PDN/Coating Removal  Brick Dismantling/2022-2,2023_CCI_144048_1,Open Tender,Yes,Services,AMC/ Maintenance Contracts ,NA,365,ANNUAL CONTRACT FOR REMOVAL OF COATING AND DISMANTLING OF BRICK LINING IN KILN AT CCI TANDUR,ANNUAL CONTRACT FOR REMOVAL OF COATING AND DISMANTLING OF BRICK LINING IN KILN AT CCI TANDUR,2023-02-03 18:00:00,CCI TANDUR,2023-02-03 18:00:00,2023-02-24 15:00:00,2023-02-25 15:30:00,120,CCI TANDUR,"HOD(PORD)
CCI TANDUR
PIN CODE 501158"
84,Cement Corporation of India Limted,BKJ/MM/M-5493/22-23,2023_CCI_143448_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,60,BKJ/MM/M-5493/22-23,procurement of Stainless Steel Plate at Bokajan Cement Factory of CCI,2023-02-03 11:00:00,Bokajan Cement Factory of CCI,2023-02-03 11:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,90,HOD(MM),"Bokajan Cement Factory, CCI"
85,Cement Corporation of India Limted,BKJ/MM/PROD-2238/22-23,2023_CCI_143760_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,45,BKJ/MM/PROD-2238/22-23,Procurement of Muffle Furnace at Bokajan Cement Factory of CCI,2023-02-02 11:00:00,Bokajan Cement Factory of CCI,2023-02-02 11:00:00,2023-02-15 15:00:00,2023-02-16 16:00:00,90,HOD(MM),Bokajan Cement Factory of CCI
86,Cement Corporation of India Limted,TCF/MM/3061/21_3049/20/282/R,2023_CCI_143560_1,Open Tender,Yes,Goods,Machinery and Machining Tools ,NA,60,"Supply of Pin Bush type Flexible coupling, REC Coupling etc","Supply of Pin Bush type Flexible coupling, REC Coupling etc",2023-02-01 11:00:00,CCI Tandur,2023-02-01 11:00:00,2023-02-15 14:30:00,2023-02-16 15:00:00,120,HOD MM,"HOD MM, CCI Karankote, 501158"
87,Cement Corporation of India Limted,BKJ/MM/Civil-3822/22-23,2023_CCI_143454_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,75,Procurement of Alum at Bokajan Unit,Procurement of Alum at Bokajan Unit,2023-01-31 15:00:00,Cement coorporation Of India LTD Bokajan,2023-01-31 15:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,120,HOD(MM),"CCI, Bokajan"
88,Cement Corporation of India Limted,TCF/ELECT/AMC/14/2022-23,2023_CCI_143332_1,Open Tender,Yes,Services,AMC/ Maintenance Contracts ,NA,365, Annual Maintenance Contract of," Annual Maintenance Contract of
OTIS ELEVATOR installed at our Pre-Heater Building",2023-01-31 10:00:00,CCI TANDUR,2023-01-31 10:00:00,2023-03-15 15:00:00,2023-03-16 15:30:00,120,CCI TANDUR,"HOD(ELECT)
PIN CODE 501158"
89,Cement Corporation of India Limted,BKO/Adm/IWF/2023,2023_CCI_143199_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,90,Water Filter System,"Industrial Water Filter with minimum capacity of 8000 LPH and maximum 10000 LPH along with pipe fittings, complete kit/ spare parts and installation at Bokajan Cement Factory",2023-01-28 17:30:00,Bokajan,2023-01-28 17:30:00,2023-02-17 15:00:00,2023-02-18 15:05:00,120,HOD HR,BOKAJAN CEMENT FACTOORY
