,organisation_chain,tender_reference_number,tender_id,tender_type,withdrawal_allowed,tender_category,product_category,tender_value_in_â‚¹_,period_of_work(days),title,work_description,published_date,location,bid_submission_start_date,bid_submission_end_date,bid_opening_date,bid_validity(days),name,address
90,Cement Corporation of India Limted,BKJ/MECH/EQUIPTEST/2022-23,2023_CCI_143166_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,30,Overhauling of EOT Crane Bucket,Overhauling/Repairing of EOT Crane Grab Bucket,2023-01-28 13:30:00,Bokajan,2023-01-28 13:30:00,2023-02-11 15:00:00,2023-02-13 15:05:00,120,HOD MECH,BOKAJAN CEMENT FACTORY
91,Cement Corporation of India Limted,TCF/MM/4024/22/277/R,2023_CCI_142093_1,Open Tender,Yes,Goods,Electronic Components And Devices ,NA,60,supply of Vapromatic LRS,supply of Vapromatic LRS,2023-01-19 10:00:00,CCI Tandur,2023-01-19 10:00:00,2023-02-14 14:30:00,2023-02-15 15:00:00,120,HOD MM,CCI Tandur Karankote village 501158
92,Cement Corporation of India Limted,BKO/MECH/COAL/22-23,2023_CCI_141250_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,30,"FABRICATION, ERECTION and COMMISSIONING OF COAL FEED","FABRICATION, ERECTION and COMMISSIONING OF COAL FEED 
HOPPER IN COAL BELT",2023-01-11 15:15:00,BOKAJAN,2023-01-11 15:15:00,2023-02-20 15:00:00,2023-02-21 15:00:00,120,HOD MECH,"BOKAJAN CEMENT FACTORY, BOKAJAN"
93,Cement Corporation of India Limted,TCF/MM/5041/22/267,2023_CCI_141253_1,Open Tender,Yes,Goods,Electrical Goods/Equipment ,NA,45,Supply of Directional Valves,Supply of Directional Valves,2023-01-11 15:00:00,CCI Tandur,2023-01-12 10:00:00,2023-02-13 14:30:00,2023-02-14 15:00:00,120,HOD (MM),"CCI Tandur, karankote village, 501158"
94,Cement Corporation of India Limted,BKJ/MM/RW-7185/22-23,2023_CCI_145027_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,75,"Procurement of Hanger Pin, Latch Pin, Bush etc at Bokajan Cement Factory of CCI","Procurement of Hanger Pin, Latch Pin, Bush etc at Bokajan Cement Factory of CCI",2023-02-10 17:00:00,Bokajan Cement Factory of CCI,2023-02-10 17:00:00,2023-02-27 15:00:00,2023-02-28 15:00:00,120,HOD(MM),Bokajan Cement Factory of CCI
95,Cement Corporation of India Limted,BKO/MECH/KL2/TYRE AND SUPPORT ROLLER/2022-23,2023_CCI_144105_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,60,TYRE AND SUPPORT ROLLER,Tender document for Hiring service for resurfacing of 02 No Kiln Tyre and 04 No Support Rollers,2023-02-04 12:00:00,BOKAJAN,2023-02-04 12:00:00,2023-02-20 15:00:00,2023-02-21 15:05:00,120,HOD MECH,"BOKAJAN CEMENT FACTORY, BOKAJAN"
96,Cement Corporation of India Limted,BKO/MECH/COAL/22-23/01,2023_CCI_143973_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,30,Coal Feed Hopper,"Fabrication, erection and commissioning of Coal Feed Hopper in Coal Belt",2023-02-03 15:30:00,Bokajan ,2023-02-03 15:30:00,2023-02-17 15:00:00,2023-02-18 15:05:00,120,HOD MECH,"BOKAJAN CEMENT FACTORY, BOKAJAN"
97,Cement Corporation of India Limted,RCF/MM/137(22),2023_CCI_143722_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,365,Annual Rate Contract of Electrodes Make ADORFON ,Annual Rate Contract of Electrodes Make ADORFON ,2023-02-02 17:00:00,CCI Rajban,2023-02-02 17:00:00,2023-02-17 15:30:00,2023-02-18 16:00:00,90,HOD MM,CCI Rajban
98,Cement Corporation of India Limted,TCF/MM/3014/22/283/R,2023_CCI_143568_1,Open Tender,Yes,Goods,Mechanical Tools and Equipment ,NA,30,supply of Input / Output Pinion Shaft,supply of Input / Output Pinion Shaft,2023-02-01 11:00:00,CCI Tandur,2023-02-01 11:00:00,2023-02-15 14:30:00,2023-02-16 15:00:00,120,HOD MM,"HOD MM, CCI Karankote , 501158"
99,Cement Corporation of India Limted,TCF/MM/4034/22/281/R,2023_CCI_142762_1,Open Tender,Yes,Goods,Electronic Components And Devices ,NA,45,supply of Spares for preheater OTIS Elevator machine,supply of Spares for preheater OTIS Elevator machine,2023-02-01 10:00:00,CCI Tandur,2023-02-01 10:00:00,2023-02-15 14:30:00,2023-02-16 15:00:00,120,HOD MM,CCI Tandur karankote village 501158
100,Cement Corporation of India Limted,BKJ/MM/M-5478/22-23,2023_CCI_143393_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,75,Procurement of Spring Steel Strips at Bokajan Unit,Procurement of Spring Steel Strips at Bokajan Unit,2023-01-31 12:00:00,Cement coorporation Of India LTD Bokajan,2023-01-31 12:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,120,HOD(MM),"Cement Corporation of India Ltd., Bokajan"
101,Cement Corporation of India Limted,BKO/ADMN/CANTEEN/F/23,2023_CCI_143230_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,365,Running of Industrial Canteen,Tender for Running Industrial Canteen at Bokajan Cement Factory,2023-01-30 10:00:00,Bokajan,2023-01-30 10:00:00,2023-02-17 15:00:00,2023-02-18 15:05:00,120,HOD HR,"BOKAJAN CEMENT FACTORY, BOKAJAN"
102,Central Electronics Limited, C-2(b)/RC/6001/0088/2023,2023_CEL_145010_1,Open Tender,Yes,Goods,Electrical Goods/Equipment ,NA,60,SUPPLY OF TWO STAGE ROTARY VACUUM PUMP E2M40 (MAKE-EDWARDS),SUPPLY OF TWO STAGE ROTARY VACUUM PUMP E2M40 (MAKE-EDWARDS),2023-02-10 16:00:00,Sahibabad,2023-02-10 16:00:00,2023-02-24 14:30:00,2023-02-24 15:00:00,90,AGM MMD,"Central Electronics Limited site-4 Industrial Area, Saur Urja Marg, Sahibabad 201010
"
103,Central Electronics Limited,C-2(b)/WC/910/0155/2023,2023_CEL_144791_1,Open Tender,Yes,Works,Miscellaneous Works ,NA,1095,Annual Maintenance of SSDAC and HASSDAC systems installed in Danapur Division of East Central Railway for 03 years,Annual Maintenance of SSDAC and HASSDAC systems installed in Danapur Division of East Central Railway for 03 years,2023-02-09 17:00:00,CENTRAL ELECTRONICS LIMITED,2023-02-09 17:00:00,2023-02-22 14:30:00,2023-02-22 15:00:00,90,"AGM, MMD","CEL, MMD"
104,Central Electronics Limited,910/0157/2023,2023_CEL_144324_1,Single,Yes,Goods,Miscellaneous Goods ,NA,21,Supply of Standard Tools kit as per Annexure A-2,"Supply of Standard
Tools Kit as per
Annexure A-2
Make G G Tronics
",2023-02-07 16:00:00,Central Electronics Limited,2023-02-07 16:00:00,2023-02-13 14:30:00,2023-02-13 15:00:00,90,"AGM, MMD","CEL,MMD"
105,Central Electronics Limited,C-2(b)/RC/910/0153/2023,2023_CEL_144343_1,Open Tender,Yes,Works,Miscellaneous Works ,NA,113,Rail Monitoring System for breakage Detection for Elevated Track of,"Rail Monitoring System for breakage Detection for Elevated Track of
L8 between Botanical Garden to Kalkaji-Mandir
",2023-02-06 18:00:00,CENTRAL ELECTRONICS LIMITED,2023-02-06 18:00:00,2023-02-21 14:30:00,2023-02-21 15:00:00,90,"AGM, MMD","CEL,MMD"
106,Central Electronics Limited,C-2(b)/WC/910/0154/2023,2023_CEL_144118_1,Open Tender,Yes,Works,Miscellaneous Works ,NA,312,"Indoor and outdoor signaling work in connection with, Installation, of SSDAC as dual detection for BPAC in Washimbe Malik peth and Tilati Kalaburagi and single line on 10 Block sections of KWV MRJ and PB SNSI of Solapur Division","Indoor and outdoor signaling work in connection with, Installation, of SSDAC as dual detection for BPAC in Washimbe Malik peth and Tilati Kalaburagi and single line on 10 Block sections of KWV MRJ and PB SNSI of Solapur Division",2023-02-04 16:00:00,CENTRAL ELECTRONICS LIMITED,2023-02-04 16:00:00,2023-02-16 14:30:00,2023-02-16 15:00:00,90,"AGM, MMD","CEL, MMD"
107,Central Electronics Limited,C-2(b)/RC/603/0191/2023,2023_CEL_143696_1,Open Tender,Yes,Goods,Machinery and Machining Tools ,NA,60,SUPPLY OF DIAMOND WHEEL FOR CYLINDRICAL GRINDER MACHINE,SUPPLY OF DIAMOND WHEEL FOR CYLINDRICAL GRINDER MACHINE,2023-02-01 17:00:00,Sahibabad,2023-02-01 17:00:00,2023-02-15 14:30:00,2023-02-15 15:00:00,90,AGM MMD,"Central Electronics Limited, site 4, Industrial Area, Saur Urja Marg, Sahibabad 201010
"
108,Central Electronics Limited,C-2(b)/WC/0904/1196/2023,2023_CEL_142928_1,Open Tender,Yes,Works,Miscellaneous Works ,NA,730,Annual Contract for Running Canteen Services at CEL Campus,"To provide tea, snacks, breakfast, lunch and dinner on 24X7X365 basis at CEL, Sahibabad as per terms and Conditions of the tender.",2023-01-25 15:00:00,Central Electronics Limited,2023-01-25 15:00:00,2023-02-14 14:30:00,2023-02-14 15:00:00,90,"AGM, MMD","MMD, Central Electronics Limited, Industrial Area Site IV, Sahibabad 201010."
109,Central Electronics Limited,C-2(b)/RC/302/15506/2023,2023_CEL_145052_1,Limited,Yes,Goods,Electrical Goods/Equipment ,NA,1801,Procurement of various type of cable,Procurement of various type of cable,2023-02-10 18:00:00,Central Electronics Limited,2023-02-10 18:00:00,2023-02-18 14:30:00,2023-02-18 15:00:00,180,AGM MMD,Materials Management Division Central Electronics Limited Sahibabad 201010
110,Central Electronics Limited,C-2(b)/RC/302/15505/2023,2023_CEL_144993_1,Limited,Yes,Goods,Electrical Goods/Equipment ,NA,180,"Procurement of E/M Counter 6 digit,24v DC Non Resatable","Procurement of E/M Counter 6 digit,24v DC Non Resatable",2023-02-10 15:00:00,Central Electronics Limited ,2023-02-10 15:00:00,2023-02-17 14:30:00,2023-02-17 15:00:00,180,AGM MMD,Material Management division Central Electronics Limited Sahibabad 201010 
111,Central Electronics Limited,EnquiryNo.0700/8351/2023,2023_CEL_144475_2,Limited,Yes,Goods,Consumables- Raw materials ,NA,30,"Supply of Anodized Aluminium Channel Size 875MM, 660MM and Aluminium Channel Corner Size 22.3MM","Supply of Anodized Aluminium Channel Size 875MM, 660MM and Aluminium Channel Corner Size 22.3MM",2023-02-08 12:00:00,Sahibabad,2023-02-08 12:00:00,2023-02-14 15:00:00,2023-02-14 15:00:00,30,"Manager, MMD","Central Electronics Limited 4, Industrial Area Sahibabad 201010"
112,Central Electronics Limited,EnquiryNo.0700/8350/2023,2023_CEL_144471_1,Limited,Yes,Goods,Miscellaneous Goods ,NA,15,Supply of Junction Box 3-T,Supply of Junction Box 3-T,2023-02-07 15:00:00,Sahibabad,2023-02-07 15:00:00,2023-02-14 15:00:00,2023-02-14 15:00:00,30,"Manager, MMD","CENTRAL ELECTRONICS LIMITED, 4, Industrial Area, Saur Urja Marg, Sahibabad 201010 "
113,Central Electronics Limited,603/0193/2023,2023_CEL_144339_1,Single,Yes,Goods,Mechanical Tools and Equipment ,NA,30,Supply of Electroplated Diamond Wheel,Supply of Electroplated Diamond Wheel,2023-02-06 17:00:00,Sahibabad,2023-02-06 17:00:00,2023-02-13 14:30:00,2023-02-13 15:00:00,90,AGM MMD,"Central Electronics Limited site 4 Industrial Area 
Sahibabad 201010
"
114,Central Electronics Limited,C-2(b)/WC/0907/0438/2023 ,2023_CEL_144007_1,Open Tender,Yes,Works,Electrical Works ,NA,90,"SITC of HVAC (Retrofitted by VRF air Conditioning Works) for MED Ground and  First floor CEL Campus, Sahibabad.","SITC of HVAC (Retrofitted by VRF air Conditioning Works) for MED Ground and  First floor CEL Campus, Sahibabad.",2023-02-03 17:00:00,Central Electronics Limited,2023-02-03 17:00:00,2023-02-16 14:30:00,2023-02-16 15:00:00,90,AGM MMD,"Central Electronics Limited, Industrial Area Site IV, Sahibabad 201010
"
115,Central Electronics Limited,C-2(b)/RC/602/3415/2023,2023_CEL_142949_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,365,SUPPLY OF ALUMINIUM JACKET C-BAND AND ALUMINIUM JACKET X-BAND,SUPPLY OF ALUMINIUM JACKET C-BAND AND ALUMINIUM JACKET X-BAND,2023-01-25 16:00:00,Sahibabad,2023-01-25 16:00:00,2023-02-13 14:30:00,2023-02-13 15:00:00,90,AGM MMD,"Central Electronics Limited, site 4, Industrial Area, Saur Urja Marg, Sahibabad  201 010"
116,Central Electronics Limited,C-2(b)/RC/602/3407/2023,2023_CEL_142823_1,Open Tender,Yes,Goods,Consumables- Raw materials ,NA,365,SUPPLY OF SILVER PLATE PURITY 99.95 percent ,SUPPLY OF SILVER PLATE PURITY 99.95 percent ,2023-01-24 18:00:00,Sahibabad,2023-01-24 18:00:00,2023-02-16 14:30:00,2023-02-16 15:00:00,90,AGM MMD,"Central Electronics Limited site 4, Industrial Area 
SAHIBABAD 201010"
117,Cochin Shipyard Limited,CNS/ARC/EOD8010/01/23,2023_CSL_144833_1,Open Tender,Yes,Goods,Electrical Goods/Equipment ,NA,730,HEAT SHRINKABLE SLEEVES AND EARTHING CABLES,HEAT SHRINKABLE SLEEVES AND EARTHING CABLES,2023-02-10 12:30:00,ERNAKULAM,2023-02-10 12:30:00,2023-03-16 15:00:00,2023-03-17 15:00:00,120,DGM MAT ,"DGM MAT
COCHIN SHIPYARD LTD
COCHIN 682015"
118,Cochin Shipyard Limited,SR1/726A33396/GePNIC/023,2023_CSL_143712_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,60,HIRING OF SKID STEERING LOADER/BOBCAT WITH OPERTOR,"HIRING OF SKID STEERING LOADER/BOBCAT WITH OPERTOR
FOR THE VESSEL VISHVA VINAY",2023-02-09 14:30:00,Cochin,2023-02-09 14:30:00,2023-02-14 15:00:00,2023-02-15 15:00:00,120,"DEPUTY GENERAL MANGER, SRM","Ship Repair Materials Department
Cochin Shipyard Limited
Kochi-682015 
Kerala, India

"
119,Cochin Shipyard Limited,SR1/726A32253/GePNIC/024,2023_CSL_144583_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,45,HIRING OF COMPRESSOR WITH OPERATOR,HIRING OF COMPRESSOR WITH OPERATOR FOR REPAIR VESSEL VISHVA VINAY,2023-02-08 12:00:00,Cochin,2023-02-08 12:00:00,2023-02-13 15:00:00,2023-02-14 15:00:00,120,"DEPUTY GENERAL MANGER, SRM","Ship Repair Materials Department
Cochin Shipyard Limited
Kochi-682015 
Kerala, India
"
120,Cochin Shipyard Limited,MAT/CSH-2/0024/21-22 Spare batteries for SH 20,2023_CSL_141355_1,Open Tender,Yes,Goods,Batteries and cells and accessories ,NA,20,Procurement of Spare batteries for SH-20,Procurement of Spare batteries for SH-20,2023-01-13 09:00:00,CSL Cochin,2023-01-13 10:05:00,2023-02-13 15:00:00,2023-02-14 15:30:00,120,DGM (MAT),"CSL, Cochin"
121,Cochin Shipyard Limited,SR6/RM714P8417/ GePNIC,2023_CSL_144994_1,Open Tender,Yes,Goods,Cables and Wires ,NA,60,ARMORED CTD CABLE FOR SINDHU SADHANA,ARMORED CTD CABLE FOR SINDHU SADHANA,2023-02-10 16:00:00,cochin shipyard ltd.,2023-02-10 16:00:00,2023-02-18 18:00:00,2023-02-20 11:00:00,120,DGM(SRM),"cochin shipyard ltd.,
COCHIN"
122,Cochin Shipyard Limited,MAT/CSH4 /061/2022-23,2023_CSL_144801_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,60,Supply of Bilge Pump with Accessories,Bilge Pump with Accessories for BY 150 ,2023-02-09 16:00:00,Cochin Shipyard ,2023-02-09 16:00:00,2023-02-20 15:00:00,2023-02-21 15:30:00,120,Lalin T Divan,Manager 
123,Cochin Shipyard Limited,CSL/MAT/AC4/DEF/FLM/2023/01,2023_CSL_144614_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,30,PROCUREMENT OF  WOODEN TOGGLE (HARD WOOD/ TEAK WOOD) FOR IAC P 071,PROCUREMENT OF  WOODEN TOGGLE (HARD WOOD/ TEAK WOOD) FOR IAC P 071,2023-02-08 15:00:00,Cochin Shipyard Ltd,2023-02-09 09:00:00,2023-03-07 15:00:00,2023-03-09 15:30:00,120,Vipin Kumar M V,"Senior Project Officer (Materials)
Cochin Shipyard Ltd
"
124,Cochin Shipyard Limited,CNS/ARC02/EOD/01-03/311/2023,2023_CSL_142875_1,Open Tender,Yes,Goods,Electrical Goods/Equipment ,NA,730,ARC FOR SUPPLY OF CABLE TIES AND CABLE CRIMPING LUGS,ARC FOR SUPPLY OF CABLE TIES AND CABLE CRIMPING LUGS,2023-01-30 10:30:00,ERNAKULAM,2023-01-30 10:30:00,2023-02-20 09:00:00,2023-02-21 11:00:00,120,DGM MAT ,"DGM MAT
COCHINSHIPYARD LTD
COCHIN 682015"
125,Council of Scientific and Industrial Research,IMMT-PZ-31-2022,2023_CSIR_145026_1,Single,Yes,Goods,Consumables (Hospital / Lab) ,NA,30,"Shaded pole motor, Boss Head Clamp for Stirrer","Supply of Shaded pole motor, Boss Head Clamp for Stirrer",2023-02-10 18:55:00,"CSIR-IMMT, Acharya Vihar, Bhubaneswar",2023-02-10 18:55:00,2023-02-16 15:00:00,2023-02-17 15:00:00,90,Director,"Director, CSIR-IMMT, Acharya Vihar, Bhubaneswar"
126,Council of Scientific and Industrial Research,IMMT-PZ-30-2022,2023_CSIR_145020_1,Single,Yes,Goods,Consumables (Hospital / Lab) ,NA,30,Spare Parts for existing PLFLS 980,Supply of spare parts for existing PLFLS 980,2023-02-10 18:55:00,"CSIR-IMMT, Acharya Vihar, Bhubaneswar",2023-02-10 18:55:00,2023-02-16 15:00:00,2023-02-17 15:00:00,90,Director,"Director, CSIR-IMMT, Acharya Vihar, Bhubaneswar"
127,Council of Scientific and Industrial Research,34-IMP-22-P-22 ,2023_CSIR_144900_1,Global Tenders,Yes,Goods,Miscellaneous Goods ,NA,84,Procurement of Inline Portable Fourier Transform-Infrared Spectrophotometer with flow through cell,Procurement of Inline Portable Fourier Transform-Infrared Spectrophotometer with flow through cell,2023-02-10 18:55:00,"CSIR-National Chemical Laboratory, Pune",2023-02-24 15:00:00,2023-03-03 15:00:00,2023-03-04 15:00:00,90,Controller of Stores and Purchase,"CSIR-NCL, Dr. Homi Bhabha Road, Pune-411008 "
128,Council of Scientific and Industrial Research,7(15)/2022/Pur/T-178,2023_CSIR_145087_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,60,"Supply, installation and commissioning of Programmable Spin Coater with IR Heat Cover and Integrated Syringe Pump ","Supply, installation and commissioning of Programmable Spin Coater with IR Heat Cover and Integrated Syringe Pump ",2023-02-10 18:55:00,CLRI Chennai,2023-02-10 18:55:00,2023-02-23 15:00:00,2023-02-24 15:00:00,90,The Director,CSIR-CLRI
129,Council of Scientific and Industrial Research,7(24)/2022/Pur/T-177,2023_CSIR_145083_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,60,Procurement of Automated Vacuum Desiccator Cabinet,Procurement of Automated Vacuum Desiccator Cabinet,2023-02-10 18:55:00,CLRI Chennai,2023-02-10 18:55:00,2023-02-23 15:00:00,2023-02-24 15:00:00,90,The Director,CSIR-CLRI
130,Council of Scientific and Industrial Research,01/ES/44/2022-ELE.,2023_CSIR_145073_1,Open Tender,Yes,Works,Electrical Works ," 8,29,660 ",45,01/ES/44/2022-ELE.,AS PER NIT,2023-02-10 18:50:00,"CSIR-NBRI MAIN BUILDING,GARDEN BLOCK",2023-02-10 18:50:00,2023-02-16 11:00:00,2023-02-17 11:30:00,90,DIRECTOR,AEE EL ESS
131,Council of Scientific and Industrial Research,Pur/5/22-23/AMC-AirN2/12921,2023_CSIR_145032_1,Single,Yes,Services,AMC/ Maintenance Contracts ,NA,365,AMC for Air and N2(PSA),AMC for Air and N2(PSA),2023-02-10 18:00:00,"CSIR-IIP, Mohkampur, Dehradun",2023-02-10 18:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,90,DIIP,"CSIR-IIP, Mohkampur, Dehradun-248005"
132,Council of Scientific and Industrial Research,PUR-182/SerReprCal/EAPID/22-23,2023_CSIR_144976_1,Single,Yes,Services,Miscellaneous Services ,NA,45,Service Repair and Calibration of Continuous Air Monitoring Station,Service Repair and Calibration of Continuous Air Monitoring Station,2023-02-10 18:00:00,"CSIR-NEERI, NAGPUR",2023-02-10 18:00:00,2023-02-16 13:00:00,2023-02-17 15:00:00,90,"DIRECTOR, CSIR-NEERI, NAGPUR","NEHRU MARG, NAGPUR"
133,Council of Scientific and Industrial Research,NIT-3-35-2022,2023_CSIR_145070_1,Single,Yes,Goods,Computer- S/W ,NA,45,Procurement of Ansys Zemax OpticStudio,Procurement of Ansys Zemax OpticStudio details as per tender document,2023-02-10 17:50:00,Purchase Section CSIR-CSIO Sector 30 Chandigarh,2023-02-10 17:50:00,2023-02-20 15:00:00,2023-02-21 15:30:00,90,Controller of Stores and Purchase,The Director CSIR-CSIO Sector 30 Chandigarjh
134,Council of Scientific and Industrial Research,34-IMP-23-P-22,2023_CSIR_144895_1,Global Tenders,Yes,Goods,Miscellaneous Goods ,NA,84,Procurement of Compact Inline Mass Spectrometer ,Procurement of Compact Inline Mass Spectrometer ,2023-02-10 16:00:00,"CSIR-National Chemical Laboratory, Pune",2023-02-25 11:00:00,2023-03-03 13:00:00,2023-03-04 13:00:00,90,Controller of Stores and Purchase,"CSIR-NCL,
Dr. Homi Bhabha Road, Pune-411008
"
135,Council of Scientific and Industrial Research,NAL/34/EBU-B/2022-23,2023_CSIR_144786_1,Open Tender,Yes,Works,Civil Works ," 80,16,945 ",366,"Annual repairs and maintenance of Lab, Water supply and Distribution to 4PI, C-CADD,CCFP and STP at NWTC, Belur Campus, NAL, Bangalore","Annual repairs and maintenance of Lab, Water supply and Distribution to 4PI, C-CADD,CCFP and STP at NWTC, Belur Campus, NAL, Bangalore",2023-02-10 15:00:00,"CSIR-NAL, NWTC, BELUR, BENGALURU - 560 037",2023-02-10 15:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,90,"DIRECTOR, CSIR-NAL, BENGALURU - 560 017","DIRECTOR, CSIR - NATIONAL AEROSPACE LABORATORIES, KODIHALLI, P.B.No.1779, BENGALURU - 560 017"
136,Council of Scientific and Industrial Research,NAL/37/EBU-KH-SQ/2022-23,2023_CSIR_144813_1,Open Tender,Yes,Works,Civil Works ," 84,85,625 ",366,"Annual Repairs and Maintenance of Staff Quarters at Kodihalli Campus, NAL, Bangalore","Annual Repairs and Maintenance of Staff Quarters at Kodihalli Campus, NAL, Bangalore",2023-02-10 15:00:00,"CSIR-NAL, KODIHALLI, BENGALURU - 560 017",2023-02-10 15:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,90,"DIRECTOR, CSIR-NAL, BENGALURU - 560 017","DIRECTOR, CSIR - NATIONAL AEROSPACE LABORATORIES, KODIHALLI, P.B.No.1779, BENGALURU - 560 017"
137,Council of Scientific and Industrial Research,IHBT/2023/3435,2023_CSIR_144977_1,Single,Yes,Goods,Electronic Components And Devices ,NA,20,eTender forUpgradation in SURVEYBOT Drone ,Upgradation in SURVEYBOT Drone ,2023-02-10 14:00:00,CSIR IHBT Palampur HP,2023-02-10 14:00:00,2023-02-16 15:00:00,2023-02-17 15:00:00,90,Director CSIR IHBT Palampur HP,Office of the Stores and Purchase Officer CSIR IHBT Palampur
138,Council of Scientific and Industrial Research,NIScPR/Pur/22-23/PAC-3,2023_CSIR_144954_1,Open Tender,Yes,Goods,Computer- S/W , 0.00 ,60,StatisticaSoftware,Software,2023-02-10 12:00:00,NIScPR New Delhi,2023-02-10 12:00:00,2023-02-16 17:00:00,2023-02-18 17:00:00,90,Director NIScPR,NIScPR New Delhi
139,Council of Scientific and Industrial Research,11(8)/NIScPR/G/2022,2023_CSIR_144729_1,Open Tender,Yes,Works,Civil Works - Others ," 10,61,528 ",365,"Upholstery works of sofa,  chairs and other allied works at NIScPR campuses at Pusa, S.V. Marg,  Maharani Bagh Guest House, New Delhi","Upholstery works of sofa,  chairs and other allied works at NIScPR campuses at Pusa, S.V. Marg  Maharani Bagh Guest House, New Delhi",2023-02-10 11:00:00,"NIScPR, Pusa, SV Marg, MB Guest House",2023-02-10 11:30:00,2023-02-20 11:00:00,2023-02-21 11:35:00,75,"Director, NIScPR","NIScPR, Dr. K S Krishnan Marg, Pusa, New Delhi"
140,Council of Scientific and Industrial Research,34-IMP-33-P-22,2023_CSIR_144898_1,Global Tenders,Yes,Goods,Miscellaneous Goods ,NA,112,Procurement of Benchtop Powder X- ray Diffractometer (XRD) ,Procurement of Benchtop Powder X- ray Diffractometer (XRD) ,2023-02-10 09:00:00,"CSIR-National Chemical Laboratory, Pune",2023-03-03 09:00:00,2023-03-09 13:00:00,2023-03-10 13:00:00,90,Controller of Stores and Purchase,"CSIR-NCL,
Dr. Homi Bhabha Road, Pune-411008
"
141,Council of Scientific and Industrial Research,46/67/22-23/CC/Maint/ESD,2023_CSIR_144682_1,Open Tender,Yes,Works,Civil Works ," 18,46,988 ",60,"Roof treatment and renovation work of Community Complex at CSIR-CMERI Colony, Durgapur-9","Roof treatment and renovation work of Community Complex at CSIR-CMERI Colony, Durgapur-9",2023-02-10 09:00:00,"CSIR-CMERI COLONY, DURGAPUR",2023-02-10 12:00:00,2023-02-20 14:30:00,2023-02-21 15:00:00,90,"DIRECTOR, CSIR-CMERI","The Director, CSIR-CMERI, Durgapur 713209"
142,Council of Scientific and Industrial Research,52/92/22-23/CE/Maint/ESD,2023_CSIR_144668_1,Open Tender,Yes,Works,Electrical Works ," 10,44,438 ",10,"Installation of UG cable for DG power line with few light fittings for Football play Ground, Technical exhibition centre and Medical centre at CSIR-CMERI old Colony, Durgapur.","Installation of UG cable for DG power line with few light fittings for Football play Ground, Technical exhibition centre and Medical centre at CSIR-CMERI old Colony, Durgapur.",2023-02-10 09:00:00,"CSIR-CMERI Colony, Durgapur",2023-02-10 12:00:00,2023-02-16 14:30:00,2023-02-17 15:00:00,90,"DIRECTOR, CSIR-CMERI","The Director, CSIR-CMERI, Durgapur 713209"
143,Council of Scientific and Industrial Research,5(22)/2022/Pur/T-175,2023_CSIR_144724_1,Open Tender,Yes,Goods,Miscellaneous Goods ,NA,60,Procurement of Chemicals,Procurement of Chemicals,2023-02-09 18:55:00,CLRI Chennai,2023-02-09 18:55:00,2023-02-23 15:00:00,2023-02-24 15:00:00,90,The Director,CSIR-CLRI
144,Council of Scientific and Industrial Research,CSIR-NIIST/OWOL/EVENT/2022-23,2023_CSIR_144864_1,Open Tender,Yes,Services,Miscellaneous Services ,NA,100,CSIR-NIIST/OWOL/EVENT/2022-23,OWOL Mega Event ,2023-02-09 18:15:00,"CSIR-NIIST, TRIVANDRUM",2023-02-09 18:55:00,2023-02-15 11:30:00,2023-02-16 12:00:00,45,THE DIRECTOR,CSIR-NIIST TRIVANDRUM
